id,count
151603712,26
187131847,1
59945701,22
53875128,197
140954425,1
26122540,7
176410694,1
150128162,1
197455089,1
63024728,1
297811211,3
76933274,1
218323237,3
302186258,1
126340495,17
194895541,2
170625356,1
167362888,1
208649703,1
225987202,1
195071563,1
254906420,1
247160953,1
308653033,1
144138643,1
97298878,24
173909336,3
198572546,1
219509107,1
202906503,1
92107940,9
251431515,1
233558010,2
99189757,1
30695285,2
259648553,1
201069271,1
48845802,11
226212066,10
221430493,1
62923086,1
250006052,2
65117175,68
227944885,1
144004384,1
236557903,3
11373749,204
140293612,1
187851224,1
192921532,2
54103616,21
222277839,1
298547051,3
264253640,12
125718844,1
230599183,1
280061602,1
38763767,1
164543231,11
163617342,9
295931968,1
165034415,1
298389371,2
27543430,1
126640783,1
119410870,1
243440565,2
157694162,1
154868247,1
263856756,1
124395695,1
126656629,1
197821092,1
294797577,1
228507886,1
272425320,1
49769103,5
202742019,3
239397807,1
300601393,2
109278470,3
197509386,1
92842632,3
103973922,2
5270060,5
171847029,21
111479516,1
64350600,13
117217039,1
93085014,4
180331040,1
180596443,6
303032390,1
150103338,1
92173524,3
151229648,23
253773352,1
250870371,1
175143479,1
56038151,62
124884511,2
148928721,12
150965343,1
46759859,4
268158408,1
257377008,4
133262375,1
202092286,1
136554467,2
185040259,1
287943546,1
136246724,1
189191657,6
57234698,5
198201128,1
55446861,1
2428602,2
104077418,1
252438345,2
164927653,1
272820556,1
9544834,3
287061478,1
32592631,10
57103808,64
215578265,1
197172884,1
242349023,1
99609673,1
63276972,16
183005527,1
92342574,2
255168531,1
87445402,5
248613483,5
107948398,3
84668956,1
226130045,1
145904806,1
164591420,1
171982044,1
187533357,1
94088853,27
48058475,10
170095814,15
212751581,3
301883131,1
31887051,1
116085629,1
106238372,3
202395275,1
248444377,7
25941262,2
148510973,18
64369759,57
289893544,1
223471406,1
210778610,1
125699277,1
173857208,1
9823354,129
165269326,1
226033921,4
232064401,1
141593973,1
174965596,1
100519466,34
107886872,2
153415214,1
180789959,3
236541446,1
155997063,1
168031436,16
169358223,1
181269219,2
162543176,6
95898619,7
185685666,3
308280913,1
69857045,1
215492239,1
16167221,25
19586574,20
200759485,2
82792088,1
153290864,1
213909719,1
219446813,1
41883322,22
260269555,1
186333740,1
237047627,1
142004534,1
99017037,3
170491009,18
195459356,1
30280104,3
227153589,1
64365339,3
103669953,3
299670894,1
237275985,1
178709401,1
198156213,1
190231757,1
76216184,1
96674283,1
212284721,1
20321898,1
48239695,6
207216516,1
201512283,1
293463755,4
131227694,12
201697182,1
150751526,49
241208825,1
249165768,7
124462762,3
239478937,1
83851086,1
145658798,1
210669058,1
130280718,15
81569401,1
186996848,1
108601099,1
108560573,6
89161051,1
287706524,1
65716118,21
144004666,1
58237510,6
113308351,1
303326013,2
154210162,1
146463817,1
303693006,1
98152188,1
231450817,1
162649407,5
229467150,1
246892835,3
288856904,1
75228114,2
36553207,1
70165453,2
143693450,1
139955299,1
136021775,16
39446138,4
211404615,1
215540943,8
81743539,5
128790593,15
198346312,18
155182551,1
169218314,1
252016836,1
124777563,1
217268143,1
88919723,1
26802825,14
27117407,5
78332414,27
291151096,1
130201800,10
88585138,2
154671192,1
139352395,1
143459727,7
42681063,7
169337011,1
260118401,7
201445671,1
24932641,2
193987636,6
242549338,4
209729995,1
71082079,4
212521878,1
166705920,1
228302915,4
64315060,1
246056879,1
154406815,1
141037251,1
74154832,1
298979438,1
149318464,1
29835809,1
174813416,1
42928788,49
269437356,1
61444633,3
298519243,1
25096601,53
120377800,1
233160273,4
33591806,1
157397663,1
234024191,13
88735140,1
115003799,1
57866383,2
168845004,1
144347801,12
112590296,1
209193781,1
42061089,76
158267574,1
307239317,1
62654923,11
56256991,5
86338111,31
67923337,1
149501464,1
74232403,2
305808638,1
83978676,1
82235763,1
146682210,1
300645203,1
211925330,3
178717672,2
218354629,6
288854118,1
189822258,2
194791978,1
202949952,1
130954987,1
108877388,4
214366018,1
72576293,1
179686274,1
227083521,13
236775073,2
286701848,5
253983004,1
162582760,1
112994491,9
85614332,1
211760999,1
216653925,1
124451578,1
58152057,1
111316830,17
185283602,1
92914917,108
135599605,1
158173228,10
147563118,1
138847348,1
77870593,14
161383225,4
60760816,1
253006481,1
72842694,109
290367158,2
42223842,1
144508237,1
17649444,23
214388411,1
141161011,4
54916182,1
168041218,2
155881626,2
23663429,1
201176964,1
179481154,4
246753573,1
115396529,4
255957600,1
276118496,1
43804972,1
216115170,1
182579698,1
242412972,2
215008934,1
161220142,1
20200395,57
32498610,10
292731142,1
43321203,1
221952355,2
4834220,16
189623540,2
208071792,1
65229865,30
53079481,1
146809006,3
240524467,1
183103599,3
181064527,1
65958466,97
77905942,5
181321171,2
172348107,1
215748805,3
129520075,6
276055488,2
230952269,2
248255491,2
165216297,1
234292025,2
226923581,3
134590374,1
43908860,16
203238341,1
228343275,1
198249024,3
248518501,1
308692673,1
105796956,1
186055359,1
87821312,2
85714521,14
170375966,1
130950166,1
194545521,2
109458201,3
23718710,1
126602285,1
252696188,1
95440541,4
49767455,23
304222866,1
303269114,1
238411403,1
97238489,1
58117481,1
61676491,89
223991842,1
166753156,14
135879753,18
101369449,3
176033341,2
103363050,1
171512034,1
267438860,1
68224834,13
110928152,1
155613860,1
157469247,13
80119032,3
128831281,1
176743370,2
122803519,12
187498422,1
34177747,91
138929901,1
170760116,1
124712421,6
110879737,1
187678142,1
175033323,4
58192081,1
175945017,1
44866715,53
176750719,1
86686260,4
57088976,1
23883383,5
184794116,2
239794225,1
232207754,2
47519224,1
235194002,1
141677474,1
161816929,1
304848876,1
198893163,4
111343998,1
49350285,16
236950689,1
31727716,28
285926554,1
142001340,15
60217594,31
291447290,1
14165501,2
169414467,1
148976064,1
113045977,1
196223620,12
197090954,1
85643975,8
242013874,1
126158311,1
71687719,1
157414627,1
242781058,17
303525289,5
282307340,1
50246981,1
88296152,5
264929688,1
230633575,4
127706455,1
117129725,1
42005897,61
187283749,7
201990605,1
87879009,4
283853460,1
42099265,7
300534109,1
4064412,4
183382406,5
242242432,11
91800733,8
93812486,3
191480137,2
293691139,3
293269191,3
227777777,3
145844862,1
205634951,1
216040174,2
172318605,1
106760673,30
62539628,3
251928689,1
149438233,2
180955576,1
87162199,6
167874227,1
286095646,1
198417932,1
234838943,1
79407831,1
156312176,1
81139130,6
167017825,8
213406926,1
259791209,1
78799565,8
309824202,1
138412880,1
228170321,1
36154073,2
210744685,2
183300822,1
229791471,2
262861632,18
242896221,1
170473291,1
162999869,1
298913000,1
104055167,11
170527593,1
178893007,1
159365538,9
135540095,1
201743677,1
109201849,11
123245831,1
237468202,1
214077903,1
259268105,3
96771844,3
196119233,1
149291366,3
273544140,1
1950243,44
244878837,1
110095045,3
294281624,1
229095219,1
62985928,16
182220992,9
266888336,1
278567826,1
142183287,2
43913966,102
209127185,1
153164320,1
259330363,1
121280370,15
149122593,1
286545176,1
255467165,1
219466905,3
69132252,1
143734410,1
141414004,1
47409520,1
131730206,1
126098408,11
163137081,1
127813787,3
120725727,6
151397156,2
198105109,12
118894547,3
283975164,1
117531196,83
49110638,1
190788774,1
193129684,8
108755905,1
202340310,1
144737312,1
171874166,1
87071236,43
178915960,1
62317148,1
204459221,8
37708732,5
103620349,2
216921535,2
156407138,3
293360401,2
140065934,1
1364546,2
181608676,20
192277804,2
83813208,1
86150792,3
130290346,1
214736709,1
101487265,3
76319436,2
58977564,4
205546094,1
182399789,52
156458299,1
64787956,132
41883229,4
139854220,1
131973876,17
163861892,1
187374370,1
302345333,2
303322239,1
299060755,2
180743752,2
188241866,1
106057222,7
178883999,2
170267441,1
277003854,1
212310741,1
44482198,40
89286594,5
299364834,1
192264666,1
112088340,1
200175559,6
138570935,9
178007464,1
194680258,1
75034989,1
248878320,1
29383643,1
195171884,4
128478373,1
37179655,1
135177440,4
139396034,1
300089223,1
90650405,1
55623839,4
136913396,2
110150300,1
60594845,1
141566602,1
12070928,1
205827348,1
299833904,1
291846968,2
74565055,1
80022321,4
109271976,1
242469861,1
58029555,5
91881892,3
49845280,1
58667850,2
234559223,1
111456195,1
113423671,4
181840406,1
79411077,22
208127048,4
167202599,13
191507469,1
77136810,3
249232725,16
32467994,56
259053705,2
138656604,1
271808456,1
246303844,1
299914260,1
121360145,5
203745259,1
206398775,4
159129006,1
238773402,5
164271888,1
83751255,2
278099058,2
30527047,2
163662283,1
172086978,1
96977722,2
184812615,1
207234237,1
241603501,1
144565105,1
118725402,2
160640171,9
156799348,1
4485779,1
295708462,1
304497842,1
168925642,1
93575977,1
68316900,33
153026960,1
27417971,2
102825821,79
218680215,7
285380840,1
71943253,1
167106826,3
142475478,5
154281477,1
239299518,2
86915561,1
150882304,10
277679482,2
160264413,1
98312003,10
141693292,1
161444156,3
54194546,25
148860618,1
200491490,1
199899325,2
160427210,23
242815838,1
167360036,2
140672677,1
204888877,2
283498338,1
208491021,4
299776839,1
54739142,2
299489226,1
196237754,1
30988672,1
149053502,1
297517705,4
128964236,4
279734186,1
302553338,2
204495708,1
180534642,1
260320188,13
237554603,1
196862501,1
207270682,1
147602462,71
76171050,2
200471514,2
221083006,1
58439284,4
206696458,1
137508279,13
169277417,3
309038666,1
186597710,1
73141776,2
90362252,1
52907921,34
178269176,2
171932001,1
152082114,1
164699741,1
158211774,1
201081230,1
146813551,1
103574570,2
101315169,1
179001580,2
56790646,1
299440710,1
266829332,7
58768356,24
240477898,2
251706843,6
130324181,23
12610800,165
231029951,16
136778642,1
30036927,2
172666220,14
186305384,2
181118785,1
83420834,8
106170243,15
187588985,5
64394438,2
225245513,1
231808839,3
21138994,3
160550083,1
104032602,5
158655873,1
242782489,2
260048725,1
73012771,1
271030096,1
